"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABCG8",0,NA,NA,NA,NA,NA
"ABHD1",1.54848567889126,1.97752668955116,1.58378024231669,1.24861179393078,0.211807096545466,NA
"ABHD10",481.999949748344,-0.17977013257021,0.11192688909583,-1.60613891820306,0.108243390499886,0.409821241334646
"ABHD11",94.0537071942914,-0.249855478709472,0.235014044978044,-1.06315126286522,0.287713360229575,0.64425506590396
"ABHD11-AS1",0.525936654241253,2.59635711818607,2.52127547559504,1.02977923012292,0.303113652817333,NA
"ABHD12",434.449748253042,-0.124379652669791,0.165918232942753,-0.74964427033589,0.453468980367201,0.767744493336439
"ABHD12B",0,NA,NA,NA,NA,NA
"ABHD13",373.224325045197,-0.14052032822669,0.128426773558146,-1.094166927452,0.273881773583572,0.632944628219941
"ABHD14A",93.4376486421107,0.166401098020124,0.286003113214744,0.58181568777254,0.560690835962186,0.831013440982603
"ABHD14A-ACY1",0,NA,NA,NA,NA,NA
"ABHD14B",1236.02745278152,0.216290824512113,0.154972044488416,1.39567639586945,0.162811965424986,0.501326940571193
"ABHD15",223.110038162939,0.208152010524538,0.146358376249576,1.42220770589576,0.154965962399657,0.48915434823058
"ABHD16A",486.135569122401,0.0524663596797303,0.141713942167213,0.37022722589866,0.711213192263897,0.901762626899507
"ABHD16B",0,NA,NA,NA,NA,NA
"ABHD17A",440.993675495455,-0.117859950050181,0.147999739265904,-0.796352416800061,0.425827226998873,0.750493565897163
"ABHD17B",206.97958890307,-0.200282453105522,0.160811949678205,-1.24544508978531,0.212968187750764,0.569472536468035
"ABHD17C",568.578180053024,-0.182660321939508,0.106084682853197,-1.72183501922025,0.0850994089038206,0.362193759947395
"ABHD18",248.447728970756,0.22068889612464,0.182423657723327,1.2097602848165,0.226370889812916,0.583670827534177
"ABHD2",1572.82917144255,0.269302925587978,0.107723187706745,2.49995317926444,0.0124209721234629,0.10694566861101
"ABHD3",126.485632048352,-0.0248791164622224,0.194914241229779,-0.127641347832009,0.898432807906201,0.966825398407966
"ABHD4",1791.43228711048,0.43916356454434,0.163671292929927,2.68320459063252,0.00729203657104461,0.0747934366838913
"ABHD5",518.160723055733,0.29151899244122,0.114458406647693,2.54694260543504,0.0108671304778409,0.0980403088157611
"ABHD6",122.471474383566,-0.349563773626126,0.203692778987171,-1.7161323801672,0.0861378159741376,0.363946152661906
"ABHD8",108.82624994769,0.501185581079823,0.210457280766751,2.38141241421476,0.0172463914776288,0.133821315170071
